Algeria,4.17,12900.0,16.1,76.5
Antigua and Barbuda,6.03,19100.0,1.44,76.8
Argentina,8.1,18700.0,20.9,75.8
Azerbaijan,5.88,16000.0,13.8,69.1
Barbados,7.97,15300.0,0.321,76.7
Belarus,5.61,16200.0,15.1,70.4
Botswana,8.3,13300.0,8.92,57.1
Brazil,9.01,14500.0,8.41,74.2
Bulgaria,6.87,15300.0,1.11,73.9
Chile,7.96,19400.0,8.96,79.1
Colombia,7.59,10900.0,3.86,76.4
Costa Rica,10.9,13000.0,6.57,80.4
Dominican Republic,6.22,11100.0,5.44,74.6
Gabon,3.5,15400.0,16.6,62.9
Grenada,5.86,11200.0,0.48,71.3
Iran,5.6,17400.0,15.9,74.5
Iraq,8.41,12700.0,16.6,67.2
Latvia,6.68,18300.0,-0.812,73.1
Lebanon,7.03,16300.0,0.238,79.8
"Macedonia, FYR",7.09,11400.0,2.04,74.0
Maldives,6.33,10500.0,2.88,77.9
Mauritius,6.0,15900.0,1.13,73.4
Montenegro,9.11,14000.0,1.6,76.4
Panama,8.1,15400.0,2.59,77.8
Romania,5.58,17800.0,3.53,73.7
Serbia,10.4,12700.0,5.88,74.7
South Africa,8.94,12000.0,6.35,54.3
Suriname,7.01,14200.0,7.2,70.3
Thailand,3.88,13500.0,4.08,76.6
Tunisia,6.21,10400.0,3.82,76.9
Turkey,6.74,18000.0,7.01,78.2
Uruguay,8.35,17100.0,4.91,76.4
Venezuela,4.91,16500.0,45.9,75.4
